Language: Finnish-TDT, Lemma Acc:91.36647212718857, Lemma Lev. Dist: 0.3266753874018917, Morph acc: 81.71664318776413, F1: 78.55533151464832 
Language: English-ParTUT, Lemma Acc:94.86929379633243, Lemma Lev. Dist: 0.11353882169332813, Morph acc: 88.52906749902458, F1: 86.99521637557014 
Language: Upper_Sorbian-UFAL, Lemma Acc:77.78730703259005, Lemma Lev. Dist: 0.7186963979416809, Morph acc: 61.492281303602056, F1: 52.476864452912366 
Language: Norwegian-NynorskLIA, Lemma Acc:93.8880706921944, Lemma Lev. Dist: 0.18335787923416788, Morph acc: 77.68777614138439, F1: 72.89887640449439 
Language: Galician-CTG, Lemma Acc:97.1841155234657, Lemma Lev. Dist: 0.06671480144404332, Morph acc: 97.52346570397111, F1: 97.25439897390675 
Language: Old_Church_Slavonic-PROIEL, Lemma Acc:96.47636794850077, Lemma Lev. Dist: 0.10418431306115535, Morph acc: 61.30780958834491, F1: 61.30780958834491 
Language: Russian-GSD, Lemma Acc:92.90363216460214, Lemma Lev. Dist: 0.18433760235145916, Morph acc: 73.05269787948772, F1: 66.6189577776332 
Language: Kurmanji-MG, Lemma Acc:85.66073102155576, Lemma Lev. Dist: 0.31958762886597936, Morph acc: 76.19493908153702, F1: 72.8555917480999 
Language: Norwegian-Bokmaal, Lemma Acc:96.64755611699543, Lemma Lev. Dist: 0.09986071972273508, Morph acc: 85.32698474395103, F1: 83.32379915484121 
Language: Italian-ISDT, Lemma Acc:96.89784095119404, Lemma Lev. Dist: 0.06813971504597663, Morph acc: 91.99703593923675, F1: 91.01762148142497 
Language: Komi_Zyrian-IKDP, Lemma Acc:38.55421686746988, Lemma Lev. Dist: 2.3734939759036147, Morph acc: 37.34939759036145, F1: 14.754098360655737 
Language: Hebrew-HTB, Lemma Acc:96.48628795298727, Lemma Lev. Dist: 0.07180460333006856, Morph acc: 87.05313418217433, F1: 85.46607832322117 
Language: Tamil-TTB, Lemma Acc:86.7745004757374, Lemma Lev. Dist: 0.45004757373929594, Morph acc: 59.84776403425309, F1: 55.29661016949152 
Language: Buryat-BDT, Lemma Acc:83.33333333333333, Lemma Lev. Dist: 0.4883512544802867, Morph acc: 75.44802867383513, F1: 70.06020799124248 
Language: Breton-KEB, Lemma Acc:85.612968591692, Lemma Lev. Dist: 0.38703140830800403, Morph acc: 84.59979736575481, F1: 82.85052143684821 
Language: Latin-Perseus, Lemma Acc:87.30048577376822, Lemma Lev. Dist: 0.3417765440666204, Morph acc: 59.26439972241499, F1: 51.96882690730107 
Language: Romanian-Nonstandard, Lemma Acc:96.10094115213569, Lemma Lev. Dist: 0.08341090081704416, Morph acc: 81.20798427965663, F1: 77.7726785987456 
Language: Italian-ParTUT, Lemma Acc:94.6479374110953, Lemma Lev. Dist: 0.12855618776671407, Morph acc: 86.2375533428165, F1: 84.87171925685638 
Language: Catalan-AnCora, Lemma Acc:98.1651729045659, Lemma Lev. Dist: 0.04060083855829519, Morph acc: 86.11570565834519, F1: 84.44080436235102 
Language: Arabic-PUD, Lemma Acc:81.3141683778234, Lemma Lev. Dist: 0.5852156057494866, Morph acc: 74.89733059548254, F1: 71.85420885160545 
Language: Komi_Zyrian-Lattice, Lemma Acc:52.747252747252745, Lemma Lev. Dist: 1.7142857142857142, Morph acc: 45.604395604395606, F1: 36.303630363036305 
Language: Japanese-PUD, Lemma Acc:86.2979777135782, Lemma Lev. Dist: 0.2876599257119274, Morph acc: 94.05695418902188, F1: 93.45707656612528 
Language: Slovak-SNK, Lemma Acc:94.5197792948658, Lemma Lev. Dist: 0.12017207518937623, Morph acc: 75.2828953520995, F1: 69.72424137533172 
Language: Ukrainian-IU, Lemma Acc:93.62693389592124, Lemma Lev. Dist: 0.1595464135021097, Morph acc: 72.50351617440225, F1: 66.01952336805367 
Language: Turkish-PUD, Lemma Acc:78.19988310929281, Lemma Lev. Dist: 0.5400350672121567, Morph acc: 74.63471654003507, F1: 70.92436974789915 
Language: Bulgarian-BTB, Lemma Acc:95.97875569044007, Lemma Lev. Dist: 0.1131765300961052, Morph acc: 83.39656044511887, F1: 80.70149637854334 
Language: Russian-PUD, Lemma Acc:83.7772397094431, Lemma Lev. Dist: 0.5399515738498789, Morph acc: 67.74818401937046, F1: 61.986301369863014 
Language: Belarusian-HSE, Lemma Acc:78.05907172995781, Lemma Lev. Dist: 0.7144866385372715, Morph acc: 48.38255977496484, F1: 37.86078098471987 
Language: Hindi-HDTB, Lemma Acc:98.15098373443504, Lemma Lev. Dist: 0.028544188599659088, Morph acc: 77.74246670326178, F1: 76.16969246722694 
Language: Czech-CAC, Lemma Acc:98.01345658554116, Lemma Lev. Dist: 0.04613971689260686, Morph acc: 88.80547846746661, F1: 87.15110683349374 
Language: Hungarian-Szeged, Lemma Acc:87.89184015314669, Lemma Lev. Dist: 0.36898779612347454, Morph acc: 55.37209858817899, F1: 48.5718228232372 
Language: Swedish-LinES, Lemma Acc:93.51629913710451, Lemma Lev. Dist: 0.1758149568552253, Morph acc: 68.82790028763183, F1: 65.06752670832493 
Language: Afrikaans-AfriBooms, Lemma Acc:93.75249500998004, Lemma Lev. Dist: 0.2530938123752495, Morph acc: 85.06986027944112, F1: 83.43241727425686 
Language: English-LinES, Lemma Acc:96.18665328650276, Lemma Lev. Dist: 0.10311088810837933, Morph acc: 84.54591068740592, F1: 82.45188880969351 
